, where, what, value
2056, GPU[1].SA[0].L1VCache[3], write-hit, 0.000000000000
2057, GPU[1].SA[0].L1VCache[3], write-miss, 21.000000000000
2058, GPU[1].SA[0].L1VCache[3], write-mshr-hit, 0.000000000000
2059, GPU[1].SA[1].L1VCache[0], read-hit, 0.000000000000
2060, GPU[1].SA[1].L1VCache[0], read-miss, 11.000000000000
2061, GPU[1].SA[1].L1VCache[0], read-mshr-hit, 0.000000000000
2062, GPU[1].SA[1].L1VCache[0], write-hit, 0.000000000000
2063, GPU[1].SA[1].L1VCache[0], write-miss, 21.000000000000
2064, GPU[1].SA[1].L1VCache[0], write-mshr-hit, 0.000000000000
2065, GPU[1].SA[1].L1VCache[1], read-hit, 0.000000000000
2066, GPU[1].SA[1].L1VCache[1], read-miss, 10.000000000000
2067, GPU[1].SA[1].L1VCache[1], read-mshr-hit, 0.000000000000
2068, GPU[1].SA[1].L1VCache[1], write-hit, 0.000000000000
2069, GPU[1].SA[1].L1VCache[1], write-miss, 21.000000000000
2070, GPU[1].SA[1].L1VCache[1], write-mshr-hit, 0.000000000000
2071, GPU[1].SA[1].L1VCache[2], read-hit, 0.000000000000
2072, GPU[1].SA[1].L1VCache[2], read-miss, 10.000000000000
2073, GPU[1].SA[1].L1VCache[2], read-mshr-hit, 0.000000000000
2074, GPU[1].SA[1].L1VCache[2], write-hit, 0.000000000000
2075, GPU[1].SA[1].L1VCache[2], write-miss, 21.000000000000
2076, GPU[1].SA[1].L1VCache[2], write-mshr-hit, 0.000000000000
2077, GPU[1].SA[1].L1VCache[3], read-hit, 0.000000000000
2078, GPU[1].SA[1].L1VCache[3], read-miss, 11.000000000000
2079, GPU[1].SA[1].L1VCache[3], read-mshr-hit, 0.000000000000
2080, GPU[1].SA[1].L1VCache[3], write-hit, 0.000000000000
2081, GPU[1].SA[1].L1VCache[3], write-miss, 21.000000000000
2082, GPU[1].SA[1].L1VCache[3], write-mshr-hit, 0.000000000000
2083, GPU[1].SA[2].L1VCache[0], read-hit, 0.000000000000
2084, GPU[1].SA[2].L1VCache[0], read-miss, 10.000000000000
2085, GPU[1].SA[2].L1VCache[0], read-mshr-hit, 0.000000000000
2086, GPU[1].SA[2].L1VCache[0], write-hit, 0.000000000000
2087, GPU[1].SA[2].L1VCache[0], write-miss, 21.000000000000
2088, GPU[1].SA[2].L1VCache[0], write-mshr-hit, 0.000000000000
2089, GPU[1].SA[2].L1VCache[1], read-hit, 0.000000000000
2090, GPU[1].SA[2].L1VCache[1], read-miss, 11.000000000000
2091, GPU[1].SA[2].L1VCache[1], read-mshr-hit, 0.000000000000
2092, GPU[1].SA[2].L1VCache[1], write-hit, 0.000000000000
2093, GPU[1].SA[2].L1VCache[1], write-miss, 21.000000000000
2094, GPU[1].SA[2].L1VCache[1], write-mshr-hit, 0.000000000000
2095, GPU[1].SA[2].L1VCache[2], read-hit, 0.000000000000
2096, GPU[1].SA[2].L1VCache[2], read-miss, 10.000000000000
2097, GPU[1].SA[2].L1VCache[2], read-mshr-hit, 0.000000000000
2098, GPU[1].SA[2].L1VCache[2], write-hit, 0.000000000000
2099, GPU[1].SA[2].L1VCache[2], write-miss, 21.000000000000
2100, GPU[1].SA[2].L1VCache[2], write-mshr-hit, 0.000000000000
2101, GPU[1].SA[2].L1VCache[3], read-hit, 0.000000000000
2102, GPU[1].SA[2].L1VCache[3], read-miss, 11.000000000000
2103, GPU[1].SA[2].L1VCache[3], read-mshr-hit, 0.000000000000
2104, GPU[1].SA[2].L1VCache[3], write-hit, 0.000000000000
2105, GPU[1].SA[2].L1VCache[3], write-miss, 21.000000000000
2106, GPU[1].SA[2].L1VCache[3], write-mshr-hit, 0.000000000000
2107, GPU[1].SA[3].L1VCache[0], read-hit, 0.000000000000
2108, GPU[1].SA[3].L1VCache[0], read-miss, 10.000000000000
2109, GPU[1].SA[3].L1VCache[0], read-mshr-hit, 0.000000000000
2110, GPU[1].SA[3].L1VCache[0], write-hit, 0.000000000000
2111, GPU[1].SA[3].L1VCache[0], write-miss, 21.000000000000
2112, GPU[1].SA[3].L1VCache[0], write-mshr-hit, 0.000000000000
2113, GPU[1].SA[3].L1VCache[1], read-hit, 0.000000000000
2114, GPU[1].SA[3].L1VCache[1], read-miss, 11.000000000000
2115, GPU[1].SA[3].L1VCache[1], read-mshr-hit, 0.000000000000
2116, GPU[1].SA[3].L1VCache[1], write-hit, 0.000000000000
2117, GPU[1].SA[3].L1VCache[1], write-miss, 21.000000000000
2118, GPU[1].SA[3].L1VCache[1], write-mshr-hit, 0.000000000000
2119, GPU[1].SA[3].L1VCache[2], read-hit, 0.000000000000
2120, GPU[1].SA[3].L1VCache[2], read-miss, 10.000000000000
2121, GPU[1].SA[3].L1VCache[2], read-mshr-hit, 0.000000000000
2122, GPU[1].SA[3].L1VCache[2], write-hit, 0.000000000000
2123, GPU[1].SA[3].L1VCache[2], write-miss, 21.000000000000
2124, GPU[1].SA[3].L1VCache[2], write-mshr-hit, 0.000000000000
2125, GPU[1].SA[3].L1VCache[3], read-hit, 0.000000000000
2126, GPU[1].SA[3].L1VCache[3], read-miss, 11.000000000000
2127, GPU[1].SA[3].L1VCache[3], read-mshr-hit, 0.000000000000
2128, GPU[1].SA[3].L1VCache[3], write-hit, 0.000000000000
2129, GPU[1].SA[3].L1VCache[3], write-miss, 21.000000000000
2130, GPU[1].SA[3].L1VCache[3], write-mshr-hit, 0.000000000000
2131, GPU[1].SA[4].L1VCache[0], read-hit, 0.000000000000
2132, GPU[1].SA[4].L1VCache[0], read-miss, 10.000000000000
2133, GPU[1].SA[4].L1VCache[0], read-mshr-hit, 0.000000000000
2134, GPU[1].SA[4].L1VCache[0], write-hit, 0.000000000000
2135, GPU[1].SA[4].L1VCache[0], write-miss, 21.000000000000
2136, GPU[1].SA[4].L1VCache[0], write-mshr-hit, 0.000000000000
2137, GPU[1].SA[4].L1VCache[1], read-hit, 0.000000000000
2138, GPU[1].SA[4].L1VCache[1], read-miss, 11.000000000000
2139, GPU[1].SA[4].L1VCache[1], read-mshr-hit, 0.000000000000
2140, GPU[1].SA[4].L1VCache[1], write-hit, 0.000000000000
